Product,????????,????????????,????????????,First Quantity,????????????,Second Quantity,????????????,Value
07123990,??????????????????,502,????,1766,????,0,?,"398,393"
07129050,??????,502,????,501,????,0,?,"1,632"
07129099,??????????????????????,502,????,788,????,0,?,"15,115"
07131010,????????,502,????,180500,????,0,?,"258,485"
07131090,??????????,502,????,77971002,????,0,?,"32,602,734"
07133390,??????????,502,????,243340,????,0,?,"146,095"
07134090,??????????,502,????,18,????,0,?,20
07139010,????????????????,502,????,2238,????,0,?,"22,322"
07142019,??????????,502,????,340,????,0,?,"1,168"
07142030,??????????,502,????,42513,????,0,?,"126,116"
08011100,??????,502,????,595,????,0,?,"2,079"
08011990,????????,502,????,760,????,0,?,"4,105"
08012100,????????????,502,????,23,????,0,?,96
08013200,????????,502,????,2529,????,0,?,"38,780"
08021100,????????????,502,????,4126148,????,0,?,"19,585,127"
08021200,??????????,502,????,4746561,????,0,?,"42,948,846"
08022100,??????????,502,????,165000,????,0,?,"561,000"
08023100,??????????,502,????,5080642,????,0,?,"19,293,487"
08023200,??????,502,????,1843388,????,0,?,"17,965,238"
08025100,????????????????(??????),502,????,5790083,????,0,?,"39,355,755"
08025200,??????????????(??????),502,????,442888,????,0,?,"1,912,959"
08026190,??????????????????????(????????),502,????,5854216,????,0,?,"16,602,438"
08026200,????????????????(????????),502,????,30538,????,0,?,"278,541"
08029030,??????,502,????,489,????,0,?,"14,505"
08029090,????????????????,502,????,5893463,????,0,?,"30,507,494"
08041000,????????????,502,????,1633,????,0,?,"10,449"
08042000,??????????????,502,????,10651,????,0,?,"117,229"
08045020,????????????,502,????,7,????,0,?,293
08051000,??????????,502,????,32318953,????,0,?,"39,062,334"
08052090,??????????????????????????,502,????,20229,????,0,?,"28,564"
08054000,??????????????,502,????,539194,????,0,?,"683,897"
08055000,??????????,502,????,6185633,????,0,?,"15,323,764"
08061000,??????,502,????,21748688,????,0,?,"60,167,935"
08062000,??????,502,????,9954585,????,0,?,"26,105,159"
08081000,??????,502,????,37304515,????,0,?,"55,212,537"
08083090,????????,502,????,4674823,????,0,?,"8,260,341"
08092900,??????????,502,????,13001528,????,0,?,"97,698,070"
08094000,????????,502,????,7087440,????,0,?,"24,133,970"
08111000,????????,502,????,21146,????,0,?,"27,360"
08112000,????????????????????????????????????????????????????,502,????,45485,????,0,?,"125,083"
08119090,????????????????????????,502,????,1189342,????,0,?,"2,967,098"
08129000,????????????????????????,502,????,20000,????,0,?,"11,000"
08131000,????,502,????,371,????,0,?,"6,417"
08132000,??????????,502,????,760905,????,0,?,"1,950,310"
08133000,??????,502,????,5088,????,0,?,"108,958"
08134090,??????????,502,????,716647,????,0,?,"4,503,377"
08135000,????????????????????,502,????,46938,????,0,?,"721,330"
